,product_code,expiry_date,product_short_desc_storage,product_packaging,product_prescription_reco,supplier,supplier_country,batch_number,product_description_storage_raw
0,SDRECOTW5R-,2029-02-28,COTON hydrophile,rouleau,500 g,Suzhou Hengxiang Imp. & Exp.Co,Ltd,,"COTON hydrophile, rouleau, 500 g(Suzhou Hengxiang Imp. & Exp.Co, Ltd, china)"
1,SMSUCOND1--,2029-04-30,PRESERVATIF MASCULIN,lubrifié + RESERVOIR,u.u.,KAREX INDUSTRIES,MALAYSIA,,"PRESERVATIF MASCULIN, lubrifié + RESERVOIR, u.u.(KAREX INDUSTRIES, MALAYSIA)"
2,SMSUCOND1,2029-04-30,PRESERVATIF MASCULIN,lubrifié + RESERVOIR,u.u.,KAREX INDUSTRIES,MALAYSIA,,"PRESERVATIF MASCULIN, lubrifié + RESERVOIR, u.u.(KAREX INDUSTRIES, MALAYSIA)"
3,SMSUCONDF1-,2027-04-30,PRESERVATIF FEMININ,lubrifié,170 mm,CUPID LTD,INDIA,,"PRESERVATIF FEMININ, lubrifié, 170 mm, u.u. (CUPID LTD,INDIA)"
4,,,ETHANOL,dénaturé,70%,,,,"ETHANOL, dénaturé, 70%, 1 l, fl."
5,DORALAMI1T-,2026-06-30,LAMIVUDINE [3TC],150 mg,comp.,MYLAN LAB LTD,INDIA,,"LAMIVUDINE [3TC], 150 mg, comp.(MYLAN LAB LTD,INDIA)"
6,DORALAMI1T-,2027-03-01,LAMIVUDINE [3TC],150 mg,comp.,MYLAN LAB LTD,INDIA,,"LAMIVUDINE [3TC], 150 mg, comp.(MYLAN LAB LTD,INDIA)"
7,DINJSTRE1V-,2026-11-30,STREPTOMYCINE sulfate,éq. 1 g base,poudre,Lab. REIG JOFRE,SPAIN,,"STREPTOMYCINE sulfate, éq. 1 g base, poudre, fl.(Lab. REIG JOFRE, SPAIN)"
8,DINJSTRE1V-,2028-05-31,STREPTOMYCINE sulfate,éq. 1 g base,poudre,Lab. REIG JOFRE,SPAIN,,"STREPTOMYCINE sulfate, éq. 1 g base, poudre, fl.(Lab. REIG JOFRE, SPAIN)"
9,DORADARU6T-,2026-11-30,DARUNAVIR éthanolate [DRV],éq. 600 mg base,comp.,Janssen Ortho LLC,Italy,,"DARUNAVIR éthanolate [DRV], éq. 600 mg base, comp.(Janssen Ortho LLC,Italy)"
