short_desc,category,adult_category
NYSTATINE,UNKNOWN,UNKNOWN
WASH REAGENT COBAS 5L,UNKNOWN,UNKNOWN
LUBRIFIANT à usage général,UNKNOWN,UNKNOWN
CEFTRIAXONE sodique,UNKNOWN,UNKNOWN
BENZATHINE BENZYLPENICILLINE,UNKNOWN,UNKNOWN
EAU pour injection,UNKNOWN,UNKNOWN
"AMOXICILLINE 250 mg / ac. CLAVULANIQUE 62.5mg/5ml pwd f 100.fl",UNKNOWN,Paediatric
ATV 300 mg / r 100 mg,HIV,Adult
CIPROFLOXACINE chlorhydrate,UNKNOWN,UNKNOWN
CLOXACILLINE sodique,UNKNOWN,UNKNOWN
COTRIMOXAZOLE,HIV,Both
DARUNAVIR éthanolate [DRV],HIV,Both
DOXYCYCLINE sel,Malaria,Adult
ERYTHROMYCINE stéarate,UNKNOWN,UNKNOWN
LAMIVUDINE [3TC],HIV,Both
LOPERAMIDE chlorhydrate,UNKNOWN,UNKNOWN
METRONIDAZOLE benzoate,UNKNOWN,UNKNOWN
METRONIDAZOLE,UNKNOWN,UNKNOWN
NEVIRAPINE [NVP],HIV,Both
Nystatin,UNKNOWN,UNKNOWN
"SELS REHYDRATATION ORALE [SRO]basse osmol. sachet 20",UNKNOWN,Both
PYRIMETHAMINE,Malaria,Both
RALTEGRAVIR potassique [RAL],HIV,Both
RITONAVIR [r],HIV,Both
ZIDOVUDINE [AZT],HIV,Both
PISSETTE,UNKNOWN,UNKNOWN
LAMELLE COUVRE-OBJET,UNKNOWN,UNKNOWN
EPROUVETTE,UNKNOWN,UNKNOWN
MANCHE PASTEUR + anse,UNKNOWN,UNKNOWN
PIPETTE AUTOMATIQUE,UNKNOWN,UNKNOWN
[pip.aut.] EMBOUT BLEU,UNKNOWN,UNKNOWN
[pip.aut.] EMBOUT JAUNE,UNKNOWN,UNKNOWN
LAME PORTE-OBJETS,UNKNOWN,UNKNOWN
[tube à centrifuger,UNKNOWN,UNKNOWN
ANALYSEUR CD4 [PARTEC],HIV,Both
CENTRIFUGEUSE à hématocrite électr.,UNKNOWN,UNKNOWN
PHOTOMETRE HEMOGLOBINE [HemoCue Hb 301],UNKNOWN,UNKNOWN
OTOSCOPE,UNKNOWN,UNKNOWN
STETHOSCOPE,UNKNOWN,UNKNOWN
GARROT élastique,UNKNOWN,UNKNOWN
MINUTEUR DE TABLE,UNKNOWN,UNKNOWN
ETHANOL,UNKNOWN,UNKNOWN
GLYCEROL ANHYDROUS 2.5L,UNKNOWN,UNKNOWN
Moustiquaire Imprégné à Longue Durée d'Action,Malaria,Both
PARTEC,HIV,Both
PROPANEDOL 2.5 L,UNKNOWN,UNKNOWN
SAC A POUBELLE,UNKNOWN,UNKNOWN
SERINGUE,UNKNOWN,UNKNOWN
[CD4 Analyseur Partec] TRANSFORMATEUR(),HIV,Both
"THERMOMETRE à alcool [Moëller 104614] -30°C-+50C°",UNKNOWN,UNKNOWN
BALANCE sur piles,UNKNOWN,UNKNOWN
SONDE GASTRIQUE,UNKNOWN,UNKNOWN
BANDE CREPE [Velpeau],UNKNOWN,UNKNOWN
COTON hydrophile,UNKNOWN,UNKNOWN
CONTAINER,UNKNOWN,UNKNOWN
CATHETER IV,UNKNOWN,UNKNOWN
PERFUSEUR 'Y',UNKNOWN,UNKNOWN
HUILE IMMERSION,UNKNOWN,UNKNOWN
EAU DISTILLEE,UNKNOWN,UNKNOWN
PRESERVATIF MASCULIN,HIV,Adult
PRESERVATIF FEMININ,HIV,Adult
GANT D'EXAMEN,UNKNOWN,UNKNOWN
"[s.prél.sang.] CORPS PORTE TUBE avec éjecteur d'aiguille",UNKNOWN,UNKNOWN
POT A PRELEVEMENT,UNKNOWN,UNKNOWN
